# w_1 w_2 DS VF CB_L CB_U R_DIFF c_1 c_2 u_1 u_2 fut_util_1_1 fut_util_1_2 fut_util_2_1 fut_util_2_2 pen_1 pen_2 pen_u_1 pen_u_2 
2.778112324330725524e+00 4.014791450791943106e+00 0.000000000000000000e+00 9.102002191271587606e-01 1.088419932324825545e+01 1.093620111500606562e+01 1.081781711805333729e-06 2.317710476145972906e-02 1.545249631617248431e-01 2.871597820336621587e-01 7.643743348776143032e-01 -1.410167477859523800e-03 -1.681698816352721613e-04 5.019006114674735147e-02 2.571744887068357424e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.771061486941428065e+00 4.013950601383766248e+00 0.000000000000000000e+00 9.127077330328408067e-01 1.088703110012724196e+01 1.093838436593844321e+01 1.077670485050264682e-06 2.244590002765683295e-02 1.544525189789949793e-01 2.812603248705202730e-01 7.641408649104843853e-01 -1.418720662121380994e-03 -1.475320750223951122e-05 5.163678792510262988e-02 2.581770159748335292e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.029245426566941291e+00 4.143039109371183137e+00 1.000000000000000000e+00 9.038810937576950977e-01 1.088029042731200491e+01 1.092747176020338884e+01 1.681725670762568596e-06 5.442149282854644859e-02 1.707067225770470820e-01 4.329170403538595280e-01 7.711082035040215388e-01 -1.052544766649379272e-02 0.000000000000000000e+00 1.501134551351860150e-02 2.198797003655914711e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.104302154134534142e+00 4.252978959553979088e+00 1.000000000000000000e+00 8.156194167775367987e-01 1.080576840266955507e+01 1.082547043088552208e+01 1.872686596890899046e-06 6.240512383074667269e-02 1.845912063710157536e-01 4.766105848777890119e-01 8.026120401696639206e-01 -1.460039171307633311e-02 0.000000000000000000e+00 1.357412520594294611e-02 2.159319912384533025e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.172172780164248529e+00 4.360944955173206239e+00 1.000000000000000000e+00 7.247249414951415503e-01 1.070268437943390438e+01 1.074676550355638227e+01 2.097601011062410239e-06 6.753104722289524076e-02 1.942153251475013942e-01 5.027576287639878849e-01 8.318544290760404580e-01 -1.706747808965028076e-02 0.000000000000000000e+00 2.243743993295463368e-02 2.208480489635847657e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.284359979829022169e+00 4.471368979654998022e+00 1.000000000000000000e+00 6.280845023670238447e-01 1.059878174083558200e+01 1.065738726389846924e+01 2.372737404261102892e-06 7.420049272803720675e-02 2.011673356076864871e-01 5.329034383008962594e-01 8.605784193610944710e-01 -1.786508865148942957e-02 0.000000000000000000e+00 2.888740834106882927e-02 2.276997702452097927e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.195034536571574879e+00 4.471368979654998022e+00 0.000000000000000000e+00 7.515198219037486638e-01 1.072535211345453554e+01 1.077768753035296534e+01 1.408584697197589516e-06 6.982280021208089882e-02 2.046454465172309056e-01 5.085943017576721736e-01 8.856819235739853413e-01 -1.860079172471660464e-02 -3.256910741606944271e-02 4.248958185303486346e-02 2.344430970765015720e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.102030577947991752e+00 4.308523442574650808e+00 0.000000000000000000e+00 7.998471085454283980e-01 1.074864775997364141e+01 1.085104645711721894e+01 1.327268165286231293e-06 5.978557389146419571e-02 1.923521825145898256e-01 4.722393560147449265e-01 8.558210241970596321e-01 -1.254532015982546232e-02 -1.794529706279522629e-02 1.952067024922121696e-02 2.175142031874595372e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.039303977148864799e+00 4.218796957260674496e+00 0.000000000000000000e+00 8.244795568475904446e-01 1.075895874322562840e+01 1.089000037046955605e+01 1.273951297105650673e-06 5.251710093264938539e-02 1.821594170902638143e-01 4.452258439442808302e-01 8.318618840085277855e-01 -8.613207919918925218e-03 -1.005271178302652099e-02 1.697608371307724948e-02 2.186615611843314988e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.996237937549270036e+00 4.168533398345542373e+00 0.000000000000000000e+00 8.398579820501801407e-01 1.077161518829114506e+01 1.090810077580921877e+01 1.238672311204725884e-06 4.739264690115562589e-02 1.757451512138515637e-01 4.246142725393924899e-01 8.165025286545452010e-01 -6.345184212686243858e-03 -6.878690941206328825e-03 1.917714914717907893e-02 2.230160595670137302e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
