# w_1 w_2 VF 
5.629177448150145757e+00 1.743554587033002923e+00 -8.437203249124651805e+00
1.707588794351046824e+00 7.236938290482032521e+00 5.145350014427076957e-01
4.483430794774466044e+00 2.976520991631503410e+00 -3.591264825038708253e+00
1.140761783623908787e+00 4.052755622068460184e+00 9.485374083151310032e-01
7.298184851588720434e+00 7.441621366512250368e+00 -3.799215621443183366e+00
4.637173751870161453e+00 4.713426175871839874e+00 -1.039362974458528655e+00
2.330116191667744641e+00 3.997484310925672801e+00 9.960101223305155571e-01
4.806165951895052579e+00 7.810198556391724445e+00 -5.520149156891438480e-01
1.853346561027534811e+00 3.756760060087898978e+00 1.122386674174775223e+00
5.181805786977737860e+00 2.235334467395227787e+00 -6.561035824684951834e+00
7.248166876125246461e+00 5.545049322956038473e+00 -5.345680174248629513e+00
1.790570380272093587e+00 3.043184443240626980e+00 8.800110749289142831e-01
4.955857000279952018e+00 5.052499034315559356e+00 -1.248841792196801137e+00
9.279236072494926546e+00 8.956465938967436813e+00 -7.107068403794984945e+00
2.651348049531911388e-01 8.542239849670664853e+00 -2.333421861026183208e+00
2.830872993460345377e+00 2.961930007961768752e+00 -4.010161425967471160e-01
5.277718150409631548e+00 9.382330369496592937e+00 -1.234069941241616064e+00
7.613932844539670342e+00 6.726061978003001762e+00 -4.921840820577019215e+00
3.157332217744254876e+00 9.708652469247779138e+00 -1.965871051561425276e-01
8.643389837520221164e+00 2.239036854879947747e+00 -1.347760726320120916e+01
5.250727126593056404e+00 1.691517992706478957e+00 -7.784803495130292461e+00
2.543169579953742154e+00 3.431737535566189989e-01 -5.376411109806214839e+00
3.737900689634930274e+00 8.084966692178879200e+00 1.613647057311009547e-01
9.218357318422288671e+00 2.161599253432432199e+00 -1.479118687349728312e+01
4.826922557371797318e+00 7.071142801638981901e+00 -4.450806285594826051e-01
5.606374226297513808e+00 4.287838845103540741e+00 -3.623315599076706306e+00
4.309705196889463963e+00 4.857180319748410469e+00 -3.161798341479897800e-01
9.041778501475628005e+00 5.332192546146645284e+00 -9.145376515174577392e+00
5.801120769045852832e+00 3.851179021792291657e+00 -4.646775621518829169e+00
7.854272913298883552e+00 6.146028482844762664e+00 -5.928063866689628369e+00
2.947470857006690981e+00 6.673733984254315299e-01 -5.412190332272986737e+00
3.572114698867225879e+00 2.613979651085516220e+00 -2.411774997851354740e+00
3.392364717197373647e+00 6.628680632621643198e+00 4.717076629731291604e-01
5.875818920583922633e+00 2.479842324991471170e+00 -7.458435351529262292e+00
3.982193154841950022e+00 7.295966789156572041e+00 1.081548070487752256e-01
1.216828025978185845e+00 8.102967956278646966e+00 -3.210560997858937782e-01
5.127651610564786466e+00 1.125851621852658413e+00 -8.672649327636465344e+00
6.378453495687915975e+00 7.979202853884827640e+00 -2.219887952929640917e+00
3.814909778116191141e-01 6.433479589892579398e+00 -1.290393042584584649e+00
6.381016958371069414e+00 3.314635945705970421e+00 -6.752653428449777451e+00
1.166197520378025321e-01 5.324566705917327170e+00 -1.378528507141711046e+00
6.643122071490693337e+00 4.278826766628152534e+00 -5.663425781041953044e+00
4.628175250511810113e+00 7.796437546630449189e-01 -8.351914942576515344e+00
1.240488948043552975e-01 3.211758619872997933e+00 -7.015490268322555067e-01
5.422576131363411100e+00 2.463332215356683008e+00 -6.592809619576657454e+00
1.356464223058955421e+00 8.789189553279356915e+00 -2.947630198577844141e-01
5.851164919238525108e+00 3.039145788279251637e+00 -6.277936672900979787e+00
1.625250238388538104e+00 5.068991780894795518e+00 9.033616549540948171e-01
7.047716914568370683e+00 7.988866109135292604e+00 -3.201865288954651945e+00
3.314679561371984384e+00 8.693529616024180839e+00 3.413997513362101444e-01
