# w_1 w_2 VF c_1 c_2 u_1 u_2 fut_util_1_1 fut_util_1_2 fut_util_2_1 fut_util_2_2 pen_1 pen_2 pen_u_1 pen_u_2 
4.418539005549521753e-02 5.777977662689077754e+00 -1.772293971820117164e+00 1.795708131169076564e-15 3.784980331735131043e-01 1.795720107458938003e-13 1.210607404004248933e+00 1.186247859116871251e-01 -5.055186645837318471e-01 1.026621473550405339e+00 7.649708213931076528e-02 2.174014411288380799e-01 1.449211931633155619e-12 1.480342081983096412e-12 1.380277793474488665e-12
5.640446290498005943e+00 4.780489013765616413e-01 -1.099206290799538976e+01 1.314525097890224814e-01 9.090051160328059543e-02 7.054035459201966063e-01 5.833258918177015584e-01 -4.367620964024146457e-01 5.561568134610398451e-01 -6.232801077400154099e-01 6.263871336995360251e-01 7.242584895532366840e-13 6.114936973752823635e-01 4.338149568168732095e-01 7.706091624190558598e-13
1.613826541272650461e+00 9.887440858998742144e+00 -1.212886332669146583e+00 1.476868222010444952e-15 9.999999999999430456e-01 1.476868222010444747e-13 1.980099997500067710e+00 -1.687464088662507800e-01 -1.327297679189929136e+00 1.324153036497776270e+00 2.611825700264616169e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.201537068354158050e-01
5.946903386107853073e+00 1.476557798117563491e+00 -9.607959050420108227e+00 1.314688918332843903e-01 9.092976693785589926e-02 7.054491056938689830e-01 5.834230537778143377e-01 -4.980388417169398507e-01 3.564460636263892535e-01 -6.845353741047943696e-01 4.266685437368246125e-01 0.000000000000000000e+00 4.117880497196967915e-01 4.950909311098288801e-01 0.000000000000000000e+00
3.902152493731735117e+00 8.548127502372393494e+00 -8.149703439901401225e-04 5.767270369648778289e-02 8.333247991764272111e-01 4.607198405664547081e-01 1.805842074811306208e+00 -8.836926043263965136e-02 -7.085406052170035718e-01 8.132200378701300858e-01 7.190438078288813317e-02 4.763660169451733317e-13 4.919015769797724369e-13 4.634319187082902580e-13 4.619705768101056709e-13
1.100630491091294072e+00 8.014711690197604099e+00 -4.998284515663034000e-01 0.000000000000000000e+00 7.796720916911604737e-01 0.000000000000000000e+00 1.746095027653083109e+00 -9.225281955947607637e-02 -9.528750362641238425e-01 1.331190889174411085e+00 1.021779858561713689e-01 5.437303692263423249e-02 1.416197888126635718e-13 1.360897239368624034e-13 1.329097422397840234e-13
7.811347906290387222e+00 7.897177326978257916e+00 -4.521244385452713566e+00 5.557818680526468436e-01 6.637662975686173805e-01 1.471149719165368186e+00 1.609560265819228508e+00 7.835644569789817007e-03 -2.025003298918067254e-02 -1.424294285973985164e-01 -1.821343679274731956e-03 1.479183664660280173e-13 1.283306143642914954e-13 1.031506829821463023e-13 1.209331029414228986e-13
4.026671844216388685e+00 7.164210757843711086e+00 9.643265702611891754e-02 1.079460402408668890e-01 5.829368722541322656e-01 6.374079365433112931e-01 1.507137023940324783e+00 -6.500921188569420972e-02 -3.955591782882827423e-01 4.948322103950633100e-01 4.752348375650209539e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.169704847708953332e-01 2.540389167038397567e+00 -8.454131273425460336e-01 0.000000000000000000e+00 2.932738891177067916e-02 0.000000000000000000e+00 3.230892151860112471e-01 6.676163279723407173e-02 -1.857407369854889925e-02 2.801335860590364879e-01 5.443823350329678179e-02 1.034893823179389022e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.867763571955316282e+00 1.609469325742077350e+00 -1.959843582245962779e+00 5.837353866106003569e-02 4.105876708241232992e-02 4.636268915271803959e-01 3.857524866843720091e-01 -3.389110070168491889e-02 1.869095518913938547e-01 -6.142598297102896954e-02 2.652490481656529786e-01 6.257657152869411377e-13 2.307802902249708188e-01 7.364730570183497527e-13 8.168067730431743945e-13
4.902018560222440868e+00 1.528233180543824732e+00 -7.414838641618292314e+00 1.314125803461517195e-01 9.081000573082340099e-02 7.052938043369045840e-01 5.830257525488579118e-01 -2.890701800282513001e-01 3.461086520345982298e-01 -4.755844450238720933e-01 4.163651464401678104e-01 9.340837565235959872e-13 4.014409687543205041e-01 2.861357907670564193e-01 8.682898963632140754e-13
2.272554206912348551e+00 4.065151465285867793e+00 1.002198030844169807e+00 1.668183788385452226e-02 1.665786281423565218e-01 2.390903970114551524e-01 7.965259253528210737e-01 -2.386698862651433564e-02 -4.011360539314881568e-02 1.653601889337821818e-01 3.370221433823521184e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.703600735827293100e+00 1.810808360985742604e+00 -4.452852543108651417e+00 1.313051423420636687e-01 9.049574431123126594e-02 7.049977347994995647e-01 5.819826195674896452e-01 -4.938288656404594273e-02 2.896378260149748418e-01 -2.354191670723857210e-01 3.599909014732486368e-01 0.000000000000000000e+00 3.449450880462780478e-01 4.647361211943048381e-02 0.000000000000000000e+00
3.957891769394307424e+00 5.125271296490315542e+00 2.629406979549280265e-01 1.432692305570683056e-01 2.688746088100048559e-01 7.372833817522767008e-01 1.017255266600019414e+00 -2.509734604191752108e-02 -2.505363824044615131e-03 9.570591965832193557e-03 2.161996855924669045e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.059232950912898374e+00 3.862746485802519558e+00 -5.111422163192099077e+00 1.778722634487895082e-01 1.248393180195277591e-01 8.237357875191859691e-01 6.869352216517656817e-01 -4.934045430581373570e-01 -5.385728813222554617e-02 -6.338738053922068350e-01 1.297123664354099537e-02 6.895926971811627837e-13 5.553077800108524587e-13 4.782061108768624891e-01 5.690042892154273391e-13
5.330648462887509709e+00 1.966370966599643166e+00 -7.395822929720311301e+00 1.313683969517971117e-01 9.081294335360351466e-02 7.051719564312365351e-01 5.830355910701092714e-01 -3.748083198227732393e-01 2.584328262485809380e-01 -5.608349783468188354e-01 3.286802790947844222e-01 0.000000000000000000e+00 3.137646474162790744e-01 3.718876461390664412e-01 0.000000000000000000e+00
4.249489903871942253e+00 8.479292712525143827e+00 -1.944748698226863581e-01 1.275147110003605477e-01 8.251108889935008239e-01 6.944648521641614280e-01 1.796822510658822480e+00 -9.552439394069554834e-02 -6.514614538727943049e-01 7.320902790200833898e-01 6.397827569231068212e-02 2.396661428344382117e-13 2.330100088571152028e-13 2.135228842695124918e-13 2.238895917619498910e-13
9.128475805606138138e+00 3.772248655054769029e-01 -1.816976999481335397e+01 1.313683834990626575e-01 9.086178087372259737e-02 7.051715867904478907e-01 5.831979561493219055e-01 -1.134366398462236081e+00 5.763318455936263796e-01 -1.321490106856289204e+00 6.465612479943337876e-01 0.000000000000000000e+00 6.316529315304733050e-01 1.131440881095417961e+00 0.000000000000000000e+00
6.966728810556178431e+00 1.741622396236963244e+00 -1.111748074685706911e+01 1.314141290839928033e-01 9.091277072164784256e-02 7.052980354442437427e-01 5.833665892159608513e-01 -7.020320261650953020e-01 3.034364688575819091e-01 -8.884944561373520067e-01 3.736553702304152291e-01 0.000000000000000000e+00 3.587669536998396302e-01 6.990929604590611079e-01 0.000000000000000000e+00
1.767111408963397245e+00 1.784699749120599810e+00 -1.455092884564850308e+00 6.960992296856603756e-02 2.697305549018600215e-02 5.080532021171565438e-01 3.090781789363316601e-01 -3.930178023843480806e-02 1.114079103658955489e-01 -5.167111665366318912e-02 2.004945563299440903e-01 0.000000000000000000e+00 1.623865834865968472e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.625198615905678601e+00 6.102147255273012938e+00 -3.507268102474006000e+00 3.513419288557838582e-01 3.734719954670507880e-01 1.165651345469901790e+00 1.202410795845430203e+00 -1.535504874879740078e-01 -3.058336301563177248e-02 -2.941292967968757721e-01 5.932549339424054470e-03 5.412326403025913280e-14 5.667525910385551313e-14 1.488281331835211441e-01 4.772137546238397476e-14
