#T1 T2 L2 LInf 
1.570000000000000000e+02 1.580000000000000000e+02 6.886685759687033686e-05 3.680057428564584461e-04
1.580000000000000000e+02 1.590000000000000000e+02 6.583813692243395085e-05 3.175616232006720613e-04
1.590000000000000000e+02 1.600000000000000000e+02 6.413728995188177197e-05 3.013766450650541160e-04
1.600000000000000000e+02 1.610000000000000000e+02 5.696166912727570835e-05 2.913269930695224028e-04
1.610000000000000000e+02 1.620000000000000000e+02 5.310635513938289731e-05 2.900048988645920894e-04
1.620000000000000000e+02 1.630000000000000000e+02 4.745129438234882359e-05 2.517684969540135093e-04
1.630000000000000000e+02 1.640000000000000000e+02 5.084102398625605247e-05 3.037156422109756710e-04
1.640000000000000000e+02 1.650000000000000000e+02 4.034635194238745407e-05 2.290035723457735069e-04
1.650000000000000000e+02 1.660000000000000000e+02 3.802067677147572564e-05 2.165812918736014924e-04
1.660000000000000000e+02 1.670000000000000000e+02 3.499416738599652669e-05 1.871283550365326453e-04
1.670000000000000000e+02 1.680000000000000000e+02 3.101559033966941499e-05 1.876916098288071108e-04
1.680000000000000000e+02 1.690000000000000000e+02 3.049559599309099511e-05 1.633795539043533286e-04
1.690000000000000000e+02 1.700000000000000000e+02 2.571155068330409368e-05 1.436465185191779931e-04
1.700000000000000000e+02 1.710000000000000000e+02 2.403115223007447381e-05 1.297893187620347260e-04
1.710000000000000000e+02 1.720000000000000000e+02 2.137664600504660920e-05 1.148921413711576837e-04
1.720000000000000000e+02 1.730000000000000000e+02 2.054110967495273237e-05 1.005044167642129692e-04
1.730000000000000000e+02 1.740000000000000000e+02 1.641787175322443270e-05 9.291225265417495994e-05
1.740000000000000000e+02 1.750000000000000000e+02 1.570695913614713441e-05 9.646183877099242371e-05
1.750000000000000000e+02 1.760000000000000000e+02 1.366550755929751425e-05 7.280422201909699832e-05
1.760000000000000000e+02 1.770000000000000000e+02 1.175926980722966077e-05 6.488910553991556049e-05
1.770000000000000000e+02 1.780000000000000000e+02 1.097945840032451902e-05 5.972431750148189222e-05
1.780000000000000000e+02 1.790000000000000000e+02 8.565582155417922195e-06 5.693849000231102748e-05
