# w_1 w_2 VF 
9.188815609472957391e+00 5.491672976530494132e+00 -7.242122382449469598e-01
2.242568716603138501e+00 6.399235173505478658e-01 6.868701301864330588e-01
5.574667272913855776e+00 9.894650962720865195e+00 -7.322644576081076551e+00
5.629177448150145757e+00 1.743554587033002923e+00 1.057275289465904322e+00
1.707588794351046824e+00 7.236938290482032521e+00 -2.875448757025880653e+00
4.483430794774466044e+00 2.976520991631503410e+00 1.330032697645945561e+00
1.140761783623908787e+00 4.052755622068460184e+00 8.462023069150728105e-01
7.298184851588720434e+00 7.441621366512250368e+00 -2.930178827024066734e+00
4.637173751870161453e+00 4.713426175871839874e+00 3.622796873387397198e-01
2.330116191667744641e+00 3.997484310925672801e+00 9.946711380034667371e-01
4.806165951895052579e+00 7.810198556391724445e+00 -3.576709504384782079e+00
1.853346561027534811e+00 3.756760060087898978e+00 1.158203013794262048e+00
5.181805786977737860e+00 2.235334467395227787e+00 1.276120405993422580e+00
7.248166876125246461e+00 5.545049322956038473e+00 -6.027538334601576508e-01
1.790570380272093587e+00 3.043184443240626980e+00 1.578077466168904763e+00
4.955857000279952018e+00 5.052499034315559356e+00 4.345489229308263646e-02
9.279236072494926546e+00 8.956465938967436813e+00 -5.575205884233584541e+00
2.651348049531911388e-01 8.542239849670664853e+00 -6.602738003508422437e+00
2.830872993460345377e+00 2.961930007961768752e+00 1.548868051759198394e+00
5.277718150409631548e+00 9.382330369496592937e+00 -6.380871565226700071e+00
7.613932844539670342e+00 6.726061978003001762e+00 -1.951468581624796528e+00
3.157332217744254876e+00 9.708652469247779138e+00 -7.213544343132527459e+00
8.643389837520221164e+00 2.239036854879947747e+00 7.038341691950318335e-01
5.250727126593056404e+00 1.691517992706478957e+00 1.092866827821124431e+00
2.543169579953742154e+00 3.431737535566189989e-01 1.705973578791581957e-01
3.737900689634930274e+00 8.084966692178879200e+00 -4.122978642175441522e+00
9.218357318422288671e+00 2.161599253432432199e+00 1.979438111302425085e-01
4.826922557371797318e+00 7.071142801638981901e+00 -2.398255584266737017e+00
5.606374226297513808e+00 4.287838845103540741e+00 5.848193131096177666e-01
4.309705196889463963e+00 4.857180319748410469e+00 2.602483200025726973e-01
9.041778501475628005e+00 5.332192546146645284e+00 -5.579649670689850183e-01
5.801120769045852832e+00 3.851179021792291657e+00 8.305424248392210274e-01
7.854272913298883552e+00 6.146028482844762664e+00 -1.269195509405109945e+00
2.947470857006690981e+00 6.673733984254315299e-01 4.885254112014063566e-01
3.572114698867225879e+00 2.613979651085516220e+00 1.535518689051967200e+00
3.392364717197373647e+00 6.628680632621643198e+00 -1.844765528745485383e+00
5.875818920583922633e+00 2.479842324991471170e+00 1.203599086118627426e+00
3.982193154841950022e+00 7.295966789156572041e+00 -2.798196192452452991e+00
1.216828025978185845e+00 8.102967956278646966e+00 -4.451957320939984086e+00
5.127651610564786466e+00 1.125851621852658413e+00 6.227142913849075256e-01
6.378453495687915975e+00 7.979202853884827640e+00 -3.786776176188142884e+00
3.814909778116191141e-01 6.433479589892579398e+00 -2.782178326189752582e+00
6.381016958371069414e+00 3.314635945705970421e+00 9.983655383985006182e-01
1.166197520378025321e-01 5.324566705917327170e+00 -1.413188802340302530e+00
6.643122071490693337e+00 4.278826766628152534e+00 4.990208715607860057e-01
4.628175250511810113e+00 7.796437546630449189e-01 2.867589764646236716e-01
1.240488948043552975e-01 3.211758619872997933e+00 9.634728220989909886e-01
5.422576131363411100e+00 2.463332215356683008e+00 1.259396792331243020e+00
1.356464223058955421e+00 8.789189553279356915e+00 -5.683622726763134736e+00
5.851164919238525108e+00 3.039145788279251637e+00 1.140032336959846404e+00
1.625250238388538104e+00 5.068991780894795518e+00 -1.868724971427759840e-02
7.047716914568370683e+00 7.988866109135292604e+00 -3.791033439512832004e+00
3.314679561371984384e+00 8.693529616024180839e+00 -5.247375171224122781e+00
3.678754806888874906e+00 8.054747015458603165e-01 5.237252031802182017e-01
8.476075572850115591e+00 1.699290134165070965e-01 -2.143129806354410860e+00
6.595570375205603852e+00 8.968681089873848933e+00 -5.536248353630073282e+00
4.078274816462768015e+00 8.553947879284679701e+00 -4.932256245025202546e+00
2.693415612323388775e-01 3.169351930424770813e+00 1.097373086347941396e+00
1.129266402951490278e+00 5.115481213778047653e+00 -1.572201481903920950e-01
7.863018661795284636e+00 6.764757009711131808e+00 -2.009207263676218602e+00
1.821960433410562963e-01 2.201380659601434253e+00 1.457851272745754656e+00
4.258961355088356271e+00 1.998840309037641649e+00 1.377327078662345272e+00
8.070344115226005144e+00 6.705216657696099425e+00 -1.938073921919569287e+00
2.940632640681680066e+00 2.234201396335471657e+00 1.630533036688573745e+00
9.825403088232047111e+00 2.464420628732695739e+00 -3.235077777935675414e-01
5.556341147343639264e+00 2.491758756775390993e-01 -9.100840631581395002e-01
7.482019234031296318e-01 3.316063260870166784e-01 7.194340908317808925e-01
7.579426283244317553e+00 3.556886433478540610e+00 7.575530339672678082e-01
3.205941654661379481e+00 2.988755678268175675e-01 -1.071435809717531384e-01
8.192801376674925251e+00 6.578244740004095981e+00 -1.782566574460362929e+00
5.000713414799404788e+00 1.058159827160369604e+00 5.705446934443880735e-01
8.656627660040552286e+00 5.931466977086554682e-01 -1.395812344853768039e+00
7.939217368171435751e+00 3.887095374356347666e+00 5.699076102464442073e-01
9.910068445896673406e-02 8.743220672972414675e+00 -7.338081953406801361e+00
8.670389037392304488e+00 5.499173271153986242e+00 -6.492025959887559594e-01
9.059874456236341467e-02 1.575647751646927830e+00 1.396420653705716219e+00
5.988159847437803052e+00 2.635817943122193530e+00 1.184637071768518624e+00
7.278395427561664022e+00 7.818629183035924690e+00 -3.513790941156914371e+00
8.481732775752242048e+00 6.354438133365420072e+00 -1.521853790414754215e+00
4.768587242362145595e+00 3.614233521148606076e+00 1.067330066347492945e+00
1.348313278588994413e+00 8.743913965116636433e+00 -5.595253154373496685e+00
8.129626168355210680e+00 5.370684305989875895e+00 -4.900942449748999508e-01
5.983211110989849146e+00 2.695277640395032481e+00 1.180683712707830679e+00
5.660571812321149920e+00 4.987119762500698550e-01 -4.938278541085328044e-01
9.481224244335702878e+00 6.753380100120724094e+00 -2.098286237684080291e+00
9.786034773915815776e+00 8.785229796194062857e+00 -5.364785575424322772e+00
4.874814261542554483e+00 5.620759086989092879e+00 -5.126760277198645355e-01
9.805869791608119002e+00 4.850780361145019093e+00 -4.861325379752106102e-01
5.625330793008243901e+00 1.595903225077062171e+00 9.669225273828470080e-01
4.484880098394230963e+00 7.244080394664211831e+00 -2.681389384611977178e+00
8.161652165836743578e+00 6.122457460346008240e+00 -1.252730318286923605e+00
7.782858699269896263e+00 1.481421672555210733e+00 4.513963591307383894e-01
1.363028984553348311e-01 4.036694212528649572e+00 2.577558135089912383e-01
3.204475565128447759e-04 6.002307631379664166e+00 -2.649356537905989128e+00
2.441149857222759539e-02 1.953227446880098528e+00 1.389590359962310728e+00
5.400927541374609397e+00 9.493878168864192446e+00 -6.581562599807513791e+00
2.817705028195796046e+00 2.135103703639029682e+00 1.633537393296135676e+00
5.754612095622679391e+00 2.053012823762808026e+00 1.161909430345984262e+00
5.889633007148161958e+00 7.672710649313939868e+00 -3.298160978360103357e+00
8.986770662513520191e-01 1.103261766138328381e+00 1.420326895458854821e+00
9.269883385182037472e+00 6.400573807735437271e+00 -1.639409326802708122e+00
7.218460524671653999e+00 5.850495865337864920e+00 -9.116285506170260788e-01
8.112111583819567429e+00 8.478301328841190809e+00 -4.623347484681291419e+00
8.720143347309575077e+00 7.178970003730480443e+00 -2.582249602040976200e+00
6.518615913084063962e+00 6.550614823027086864e+00 -1.665414902614431369e+00
6.970955939403149948e+00 9.607922737913808575e+00 -6.709385601745454508e+00
2.414021348952711588e+00 2.575710750945072736e+00 1.664379765599731442e+00
1.970972081396192843e+00 8.336241702324981517e+00 -4.594637044239791024e+00
5.960841427655025893e-01 4.327749167641240291e+00 3.465254227630776285e-01
1.034207768134409511e+00 1.131873022854682942e+00 1.443854722368994814e+00
6.391460820535602494e+00 4.826259054568261320e+00 1.157834830810298143e-01
7.966684842500802333e+00 8.300611879075338706e+00 -4.313419521204197693e+00
6.316361839688546809e+00 8.438189127029666281e+00 -4.584773137350568462e+00
7.576885175646864035e+00 1.776957297584007778e+00 7.139592330786381780e-01
5.293834575503314710e+00 1.892737117733582108e+00 1.175630938261745584e+00
8.702061102062531361e+00 5.560511803785935570e+00 -7.088560871197859825e-01
1.692346069286598587e+00 1.063072494818283698e+00 1.311080008512361061e+00
2.331333717468947242e+00 1.401192542383447481e+00 1.419637566286835906e+00
8.000214246723922784e+00 1.117494769902679153e+00 -3.332175107789403512e-02
9.154073300897337617e+00 1.570711211816286923e+00 -3.378747462411428870e-01
2.417575489839637048e-01 7.292098937284451132e+00 -4.317453829571606505e+00
3.729770366858013109e+00 7.128759301110698665e+00 -2.559443879988977599e+00
5.422481130463323584e-01 5.167998176996654536e+00 -6.696677710278908791e-01
6.323937242312122287e+00 5.852922437287848112e+00 -8.404821960430144401e-01
9.022670709390672172e+00 7.517732839690560276e+00 -3.102606155473042193e+00
4.668649087865818892e+00 1.295802016160802816e+00 9.062473120284249006e-01
2.289187558103471520e+00 7.869259264574862023e+00 -3.763589385576780799e+00
6.023712468029747136e+00 3.172264653355906461e+00 1.084916775376767006e+00
5.503567156989052300e+00 1.902629997173867604e+00 1.147429746255509642e+00
5.499212532154547972e+00 4.158464771050832121e-02 -1.280916028947105545e+00
8.574823776773509820e+00 7.893486699050090039e+00 -3.662954145285768348e+00
2.919342607437828807e+00 2.326890918537813047e+00 1.636886129708726045e+00
7.451712909534075280e+00 8.041209017192421982e+00 -3.876154993224192324e+00
3.661578532143952014e+00 9.804098980397744967e+00 -7.334657690749738279e+00
6.588261468006471944e+00 3.484922884256674180e+00 9.140366942447126775e-01
8.881799062017179835e+00 8.708855053648127509e+00 -5.082462551014033991e+00
1.750302733686775580e+00 7.090579502168141701e+00 -2.658937132102439094e+00
8.546297713553148157e+00 9.025127416412898285e+00 -5.621018753590762529e+00
9.871670399787927153e+00 1.128514647379213587e+00 -2.168251659168165091e+00
7.724083471665148970e+00 8.730925741592177047e+00 -5.068800154927886936e+00
2.600104284746134642e+00 4.731843763945673409e+00 3.528943533601687221e-01
9.347487138065636358e+00 2.454434171072626736e+00 2.401022369740513085e-01
5.193764656981008976e+00 5.230875492302730301e+00 -1.363970023812743904e-01
6.565688885674683561e+00 5.770013952123966838e+00 -7.752226073644141735e-01
6.103444979828363870e+00 2.810811119497237165e+00 1.151380312221588653e+00
6.016428645032866562e+00 9.862445888703433639e+00 -7.232470140501392919e+00
3.665595513828913354e+00 5.437764620160804974e+00 -3.215813243296015145e-01
5.938069803891554699e+00 3.249600799051436950e-01 -9.065219188632926972e-01
7.071875206814249637e+00 7.173857857733784371e+00 -2.532085092039780605e+00
3.725895481614878157e+00 5.721289616869810857e+00 -6.431539916957280667e-01
2.590018374828176206e+00 5.609377261693030192e+00 -5.846867322106863440e-01
6.583220875834315144e+00 4.860866587317086207e+00 7.128861028468058691e-02
5.480193927184628500e+00 1.504314086597795530e-01 -1.065918360138313759e+00
3.416413410941304907e+00 9.460903736376323536e+00 -6.705705579079223710e+00
5.726953424321180819e+00 9.507976715811054191e+00 -6.585819764877671290e+00
7.472907622157610064e+00 6.366272886239586981e+00 -1.503565207734938625e+00
1.582336375387837002e+00 3.726022080081246024e-01 5.991832631989364444e-01
2.340210772782821191e+00 1.749085453666862744e+00 1.598562812083399010e+00
5.027636781824939227e+00 5.741119599461971923e+00 -6.454232258256542565e-01
9.514595115419050231e+00 2.269686752650346140e+00 -6.393817777279942050e-02
4.478454115398018409e+00 7.027350028624572698e-01 2.117427997291070341e-01
6.603673819050467131e+00 5.070059549460061099e+00 -1.090699916530883939e-01
1.106191666253711237e+00 4.778136551286586986e+00 1.875547222734876840e-01
