# w_1 w_2 VF 
7.156170783888873288e+00 7.551175777517557641e+00 -3.487900791256835831e+00
6.442804922199689699e-01 4.201987638141130077e+00 -3.026486812923412373e-01
6.812109814665591456e-02 3.059159264484781815e+00 -1.166161583021677828e+00
2.579488467959237141e+00 1.416200129537842356e+00 -3.199935136261048640e+00
1.316657308904259915e+00 1.642392470064791388e+00 -5.125388877859240466e-01
9.036391877327778488e+00 9.114666959022359904e+00 -6.696011550184268302e+00
5.828362069844299498e+00 3.303566000626100951e+00 -5.797265223618525809e+00
2.544572696828562020e+00 2.143486242820779264e+00 -1.718132716221591139e+00
7.826389188722303603e-01 2.367279189668592743e+00 5.069546011727634749e-01
3.612985115990767215e-01 1.576835072180292618e+00 -7.652474876613286625e-01
4.501596291813157791e+00 7.806402617905788155e+00 -5.539384070707473740e-01
4.435963922098628665e+00 4.991451916110281495e+00 -5.898332918459363583e-01
3.551197723077392787e+00 8.132427047875047776e+00 1.490023177884705063e-01
7.906266662255506894e+00 9.044541965059099908e+00 -4.599122616778915429e+00
5.844342639862126987e+00 3.624338644926343278e+00 -5.227408482347529528e+00
2.694867426099631924e+00 1.556737086367588896e+00 -3.149824584010277206e+00
6.170271936786083877e+00 8.653191269366923066e+00 -2.232659812359999663e+00
5.827836088148418803e+00 8.498640208827891840e+00 -1.804248065531284695e+00
1.265222871697361473e+00 9.251494699218314466e+00 -1.550910376194226004e+00
2.228981166704978367e+00 3.909963235745210763e+00 1.133342021363203500e+00
5.429324584649338981e+00 8.813203220904627599e+00 -1.438474347614830506e+00
6.010564496778760812e+00 8.520908025892671489e+00 -2.016058583552878147e+00
1.914400468580581105e+00 4.586648366991991077e-01 -3.897998048239971425e+00
3.226733307223860425e+00 7.496605579190220858e+00 4.308408285760361167e-01
5.421992349235293496e+00 2.436837241555603661e+00 -6.726658480743028079e+00
8.440391503075664659e+00 9.691716365019678037e+00 -5.615223829753633211e+00
4.320252626348441538e+00 2.272039311493435854e+00 -4.835973299637773337e+00
4.916498771688483593e+00 7.131966334670374330e+00 -8.528850445345614872e-01
7.546420311648496693e+00 7.146057296911952683e+00 -4.451381336263695587e+00
7.245103845965777722e+00 8.998761118592284447e+00 -3.613269590993697378e+00
9.104854862552373973e+00 9.125175236253484812e+00 -6.828371848693679524e+00
6.054724673289062054e+00 5.133944874138497205e+00 -3.576920093371883880e+00
