# w_1 w_2 VF c_1 c_2 u_1 u_2 fut_util_1_1 fut_util_1_2 fut_util_2_1 fut_util_2_2 pen_1 pen_2 pen_u_1 pen_u_2 
1.120427424981755848e+00 1.467649506285388039e+00 8.534060433082881758e+00 2.103057310382204226e-01 5.653864679568927354e-01 8.974091526890383141e-01 1.483976696553675589e+00 -2.344548103749271445e-02 -1.114284413531603790e-01 3.197003118930646370e-01 4.641115681787524871e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.837078011099041772e-03 1.155595532537815329e+00 7.925143871499974679e+00 0.000000000000000000e+00 3.807669890416017777e-01 0.000000000000000000e+00 1.214297288573170652e+00 9.597870388264555241e-02 -6.997473723975154991e-01 1.079215182737519818e+00 1.244974998027248286e-01 2.034150511179814436e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.128089258099600922e+00 9.560978027531230605e-02 -1.076717594731229966e+00 1.253005750612586067e-01 1.142696268074153282e-01 6.882439913528006770e-01 6.563729470182930736e-01 -5.186022210405386579e-01 5.573255204921392369e-01 -6.146068364861755340e-01 6.183285070973560948e-01 0.000000000000000000e+00 6.034900709760676607e-01 5.016446235255340724e-01 0.000000000000000000e+00
3.227653082545300367e-01 1.977488171799748118e+00 7.925631101605475237e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.980099997500124775e+00 -1.687464088662307682e-01 -1.501358254978772955e+00 1.336653758805864012e+00 2.611825700376657622e-03 7.560940195406740583e-13 8.232045460199869263e-13 7.414062528284331587e-13 1.815364731054175951e-01
1.189380677221570481e+00 2.953115596235126317e-01 3.073867614215863853e-01 1.251287643694325991e-01 1.139075006335491247e-01 6.877593354426874139e-01 6.553002543017617532e-01 -5.798326890752760754e-01 3.575997754535834017e-01 -6.752002830797511068e-01 4.186908025970621505e-01 0.000000000000000000e+00 4.037442889492955933e-01 5.629352514896208692e-01 0.000000000000000000e+00
7.804304987463468457e-01 1.709625500474478477e+00 9.861936786327129667e+00 1.419058364112566195e-01 8.804124196333402708e-01 7.336827476618441590e-01 1.856712842532555641e+00 -1.238606667862970634e-01 -7.637161077629269768e-01 8.013746327274131609e-01 1.127118233446416096e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.201260982182587922e-01 1.602942338039520687e+00 9.151198080752953601e+00 0.000000000000000000e+00 8.651585670869822442e-01 0.000000000000000000e+00 1.840392118980871627e+00 -1.131821661006367774e-01 -1.146390404055153800e+00 1.342303583504729003e+00 1.596281476897090379e-01 4.353375170278619977e-02 3.182688487757268092e-13 3.431790604656381628e-13 2.996656742193515299e-13
1.562269581258077134e+00 1.579435465395651272e+00 5.428830968906428467e+00 6.721711138305760391e-01 6.967338792787204360e-01 1.619848842542346068e+00 1.649531665518155998e+00 -2.436905391719135228e-02 -3.158029633837759059e-02 -9.547606974428270166e-02 -3.672404145155470749e-03 6.282021354914210293e-14 5.127113565530621403e-14 1.246976611526026853e-02 4.878061062339096785e-14
8.053343688432775815e-01 1.432842151568741951e+00 9.933667601188528096e+00 1.086597198661361646e-01 5.664170065417268862e-01 6.395836700256425367e-01 1.485347456228139906e+00 -6.873711439878547880e-02 -4.103026129233010577e-01 6.345714049481427921e-01 8.131993597193105938e-02 8.341721410842772855e-14 7.230891233001024432e-14 7.245462910199229611e-14 7.550622453666999689e-14
2.339409695417906179e-02 5.080778334076794245e-01 9.111170060788625236e+00 3.624705754611131786e-14 5.066679359410908995e-02 3.624707414239552681e-12 4.306394926692613256e-01 7.866377178865247011e-02 -5.312318658493195983e-02 2.926231416856398537e-01 5.999015533378508624e-02 1.147052906419237100e-01 5.796201192620475950e-13 6.585811017699977181e-13 5.482571861781249112e-13
