# w_1 w_2 DS VF CB_L CB_U R_DIFF c_1 c_2 u_1 u_2 fut_util_1_1 fut_util_1_2 fut_util_2_1 fut_util_2_2 pen_1 pen_2 pen_u_1 pen_u_2 
1.529087780384398076e+00 2.714749063356478587e+00 1.000000000000000000e+00 1.546778804315179556e+00 1.151396566332980953e+01 1.157959194530055314e+01 2.155814645809828290e-07 1.923361736987002843e-02 5.784719574786634233e-02 2.443350888929802789e-01 4.714998249037294364e-01 -2.684411576258819918e-02 -1.587630287173524835e-02 1.950470751717148232e-02 4.449692018104233621e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.626611317970255488e+00 2.937233664261690524e+00 1.000000000000000000e+00 1.448495933895172172e+00 1.142678401675998501e+01 1.147020785103036289e+01 2.327953710702519169e-07 8.463207941393588452e-03 6.507338406881624238e-02 1.802728154111190029e-01 4.919159957937608851e-01 -2.088206000708110743e-02 -6.264627669239075658e-03 8.940072587211034261e-02 4.717152998937076958e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.073614947330807201e+00 3.173091314208544400e+00 1.000000000000000000e+00 1.324844883854892075e+00 1.129163976026940652e+01 1.135805000744038118e+01 2.956379700256662237e-07 9.618122906699302921e-02 7.843182144256077848e-02 4.795784120347419965e-01 5.361240656513448499e-01 -3.937303437332639877e-02 -2.758506792355319703e-02 7.158614481181757583e-02 3.954665376238753610e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.876749775464175318e+00 3.035165974590778415e+00 0.000000000000000000e+00 1.107515345636953086e+00 1.105213575925940006e+01 1.116289493201450966e+01 2.702830322044126466e-06 3.722933502191133615e-02 7.335954203598049617e-02 3.549797503557461376e-01 5.178980651756717180e-01 -2.939407404483240782e-02 -8.675287878392445862e-03 5.883572906645895273e-02 4.147330153290452320e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.729779405240013279e+00 2.991789535198816186e+00 0.000000000000000000e+00 1.183299017742283965e+00 1.110618943356447375e+01 1.126040860192009774e+01 2.307522174658912122e-06 3.292385210511866722e-02 7.277967222319148277e-02 2.739028167844859141e-01 5.227516451778804196e-01 -2.025358638036323100e-02 -7.643252204694306329e-03 6.962700051866477224e-02 4.370448909983594421e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.628511473338197124e+00 2.953573274175344654e+00 0.000000000000000000e+00 1.214807542460958345e+00 1.114008993577206397e+01 1.128952514914985628e+01 2.117398181792880345e-06 2.440092983680763883e-02 7.217969650504940660e-02 1.854276712377835867e-01 5.253425814048888753e-01 -1.455651946899472193e-02 -7.357045880620027845e-03 7.350312998573826917e-02 4.502085648780821542e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.555728875993223514e+00 2.916788044772244515e+00 0.000000000000000000e+00 1.223499558990566172e+00 1.116270387625904092e+01 1.128429524172209497e+01 2.069651012357340779e-06 1.538557943569207609e-02 7.130760971435634588e-02 1.117411989295287178e-01 5.243478621238466530e-01 -1.101476531109391033e-02 -7.173726060048402076e-03 7.271987307751714980e-02 4.565672092872589960e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.919328241380809263e+00 3.145071649415873694e+00 1.000000000000000000e+00 1.340204378449923794e+00 1.130587830024994211e+01 1.137453045664990903e+01 3.208968948186956493e-07 6.757951643878321035e-02 7.676185325878215338e-02 3.584937253659471468e-01 5.287587613988042889e-01 -3.221584377214720130e-02 -2.224934515145093883e-02 1.004696342683928378e-01 4.297035663963328506e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.421676412722773453e+00 3.359923432614040362e+00 1.000000000000000000e+00 1.226613584949516778e+00 1.120228978964215294e+01 1.125093738025688417e+01 1.135207155948718937e-08 6.452080701111259642e-02 1.057298070087275832e-01 5.105747057825713586e-01 6.336717416807111647e-01 -2.848818936086860987e-02 -2.119203833850136220e-02 2.025445322806262993e-02 3.142642453528812774e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.522948678863086602e+00 3.517055555290481195e+00 1.000000000000000000e+00 1.132958700705783528e+00 1.111472718755106293e+01 1.115119021386050768e+01 1.750314443633755958e-07 5.553461751722239131e-02 1.320438761463460509e-01 4.660015406117775649e-01 7.109680471264185897e-01 -2.303099107579412164e-02 -1.202544957156348460e-02 2.051138721526513109e-02 2.821910957084419747e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
