#T1 T2 L2 LInf 
1.140000000000000000e+02 1.150000000000000000e+02 9.186928529565511255e-04 6.816666527654119054e-03
1.150000000000000000e+02 1.160000000000000000e+02 2.199865304617821919e-03 7.418603112251240597e-03
1.160000000000000000e+02 1.170000000000000000e+02 1.362333243307747724e-03 5.436039609229396247e-03
1.170000000000000000e+02 1.180000000000000000e+02 8.904606930105710572e-04 3.683073347464414261e-03
1.180000000000000000e+02 1.190000000000000000e+02 5.538686955325477926e-04 2.316713521155260632e-03
1.190000000000000000e+02 1.200000000000000000e+02 3.000320297577577060e-03 3.710624431441307547e-02
1.200000000000000000e+02 1.210000000000000000e+02 4.955838519199982656e-04 2.403172670096184564e-03
1.210000000000000000e+02 1.220000000000000000e+02 4.283378944850453748e-04 1.667197701630425237e-03
1.220000000000000000e+02 1.230000000000000000e+02 2.020179533061781658e-04 9.389539072844957628e-04
1.230000000000000000e+02 1.240000000000000000e+02 1.549709912929440403e-04 7.485121618419574843e-04
1.240000000000000000e+02 1.250000000000000000e+02 1.704118885931559576e-04 9.786564272979503352e-04
1.250000000000000000e+02 1.260000000000000000e+02 2.964005874489988369e-04 3.266408924500511894e-03
1.260000000000000000e+02 1.270000000000000000e+02 1.514227893912695969e-04 8.815165642179214559e-04
1.270000000000000000e+02 1.280000000000000000e+02 2.161939197594714337e-04 2.244978373359485593e-03
1.280000000000000000e+02 1.290000000000000000e+02 1.474272771933566976e-04 1.302792609644030887e-03
1.290000000000000000e+02 1.300000000000000000e+02 1.056733395938270472e-04 7.998332551911983704e-04
1.300000000000000000e+02 1.310000000000000000e+02 9.330730921782803920e-05 7.702130207877174199e-04
1.310000000000000000e+02 1.320000000000000000e+02 9.294677670684674839e-05 6.425166332032608606e-04
1.320000000000000000e+02 1.330000000000000000e+02 8.619228238599180498e-05 7.010613379403653634e-04
1.330000000000000000e+02 1.340000000000000000e+02 1.021850902003755009e-04 7.453702470680206383e-04
1.340000000000000000e+02 1.350000000000000000e+02 5.549923442474595601e-04 3.511237661973391419e-03
1.350000000000000000e+02 1.360000000000000000e+02 9.588338528031216043e-04 7.978353870338654105e-03
1.360000000000000000e+02 1.370000000000000000e+02 8.535299919705079119e-04 5.729750873773154993e-03
1.370000000000000000e+02 1.380000000000000000e+02 4.554346519204879201e-04 2.792078273991464854e-03
