# w_1 w_2 w_3 w_4 VF 
2.990504116359773423e-01 5.693721224829791927e-01 9.297162579095416546e-02 5.337199726617840589e-01 -8.556019876873524055e-01
1.276446389624540621e-02 3.940516057846267239e-01 3.710438548968494898e-01 4.396880925516116756e-01 -7.766109150755600155e-01
4.372917151138420722e-01 5.273250970363149159e-01 5.461416611322176262e-01 5.988022875005838408e-01 -1.360803429521459051e+00
7.870257798822773987e-01 8.216826895639898209e-01 3.582569470668873768e-01 9.572195258777462801e-01 -7.204248758186880153e+00
5.648784480110242701e-01 8.927353134996783846e-01 4.624669490459475951e-01 9.720923472258163889e-01 -7.466645630179217008e+00
3.197525416995859043e-02 5.447230414659905984e-01 3.306864885503899010e-01 5.574427114736564270e-01 -1.316770691777021440e+00
5.222218622177268732e-02 2.252647166300643378e-01 1.147158117391175458e-01 6.678355775243843828e-01 -6.373654711234278736e+00
8.694764623676096149e-02 6.898855958489908957e-01 7.043893879814225878e-01 7.854027155991255560e-01 -4.137924543243277853e+00
1.307695619302172707e-01 5.938686143782915261e-01 9.031730279511018811e-01 9.090007885284646649e-01 -6.858443143362153549e+00
7.155533446276553244e-02 8.837991243489228266e-01 5.387570920088408793e-02 8.828615779821191722e-01 -6.425713893288234502e+00
8.130052032867711720e-01 9.303629947263284405e-01 1.067655569225117035e-01 3.747148245587969551e-01 9.940379419075906497e-01
2.145392697261407078e-01 8.638824334101036229e-01 8.593089565385175765e-01 9.775556308786539361e-01 -7.361077448794878464e+00
7.076711043869048368e-01 7.078894526453154423e-01 1.511346995086451650e-01 2.068772206429186911e-01 1.643708373215238439e+00
1.005967619160785254e-01 8.497916733323855887e-01 2.561214537942234637e-01 4.328710795716825821e-01 -5.200346167673490783e-01
2.498381647767617397e-01 4.511814447727724997e-01 1.914465971888424378e-01 9.070052883994583759e-01 -8.455435518423671581e+00
6.264019108892956433e-01 8.560506946664593331e-01 1.606125838014269558e-01 6.247714621407638447e-01 -1.829599113213530970e+00
7.274889603891010470e-01 8.633763739596929110e-01 5.650610131267620462e-01 8.591405375731646643e-01 -4.932861279693328882e+00
3.117169616520805708e-01 6.753066963563112424e-01 7.168207404315295461e-01 7.420328669933787813e-01 -3.222801290703506183e+00
5.251696136549151017e-01 7.482611211717964395e-01 2.397833218790154930e-01 5.777289257727722394e-01 -1.131421501683620434e+00
1.623330493096710736e-01 2.277675845554243128e-01 8.828504477370294201e-02 5.395347935970148390e-01 -4.168286557302524287e+00
8.298912824713370329e-01 9.261036355213138060e-01 9.733236080940624313e-02 9.450721362246023993e-01 -7.005131408142185379e+00
4.890871041591260404e-01 7.014660648268477017e-01 8.048291333690137384e-01 9.263672877185209487e-01 -6.669186891380705973e+00
6.572240558919322240e-01 6.825647938721359775e-01 1.946572565914216763e-02 6.430982010576457020e-01 -2.710065546801851966e+00
2.255744876079505135e-01 4.678324831151926544e-01 2.243008818605791432e-01 4.639958324283187108e-01 -3.330354837712174998e-01
5.385352707379278403e-01 8.208201466089150022e-01 1.473185495537529966e-03 2.037873153537204385e-01 1.666589128997562952e+00
9.117719773181149900e-01 9.254637869145679874e-01 8.833830831543193485e-02 6.557762856664771656e-01 -2.241086894451450817e+00
2.777540026654868877e-01 9.728143316237968241e-01 6.380656277605738502e-01 9.290779773962783983e-01 -6.714159378718113302e+00
5.405839980614970397e-01 5.781125313431634272e-01 4.314706598853965680e-01 5.236356272407787227e-01 -1.838917288628127977e-01
3.727271893363174882e-01 7.883078609536112724e-01 4.219474008221862915e-01 8.036280186872306608e-01 -4.208645842927479563e+00
2.827081926678154944e-01 7.230034907146568601e-01 5.355447370605510848e-02 6.282236811753975081e-01 -2.780536316670835006e+00
8.241376197282817007e-01 8.941733459775985660e-01 2.191630554799339214e-01 5.313262263639120242e-01 -3.917494288104439448e-01
2.672484009626618362e-01 6.322258816264428871e-01 1.315245189090516638e-02 6.028131394164815138e-01 -2.363757441186892905e+00
7.675243721090286853e-01 9.714660746356531540e-01 2.719656853321992251e-01 5.230742878620181502e-01 -5.012108318661336881e-01
2.053605410123484631e-01 7.889253429386370309e-01 3.773502401086288871e-01 9.055799747474935213e-01 -6.404952927245817662e+00
4.791083907851266255e-01 6.311042693679447257e-01 6.536291596635003531e-02 6.524520826762107983e-01 -2.836219740530529165e+00
4.691435335769784665e-01 6.884631063284497587e-01 4.157067698853786908e-01 8.063402958469695347e-01 -4.484427241082210358e+00
3.178088461685746879e-01 8.551450898116539356e-01 2.080527506570486740e-01 6.390342639443437056e-01 -2.364430402425286459e+00
1.196636538391589871e-01 2.048163577035571059e-01 6.240552048676378805e-02 7.529211726698584739e-01 -8.394796223306835614e+00
8.095964031072178102e-02 7.218491719786321870e-01 4.688192618031953862e-01 5.714271623655985399e-01 -1.147949645464271029e+00
8.025487371893322286e-02 8.464153700012498893e-01 1.937892943078702301e-01 7.782680245574492561e-01 -4.635122823580138274e+00
2.924532237103213417e-01 4.526017367537610858e-01 8.601347753273692609e-01 9.069068320879859479e-01 -7.903865657588839966e+00
2.888085943282083234e-01 7.326915544465638641e-01 3.684562789514776032e-02 8.911556899560935108e-01 -6.851218037415295115e+00
7.433136540075555576e-01 8.626392141139930247e-01 2.115421854253597134e-01 7.706788984988333091e-01 -3.692820586928020177e+00
8.771416864018982684e-02 1.933931123509851635e-01 4.178072342288480789e-01 6.476425235057443608e-01 -6.116933136491491396e+00
2.577799694815828269e-01 6.391071610252343493e-01 1.713835568127699827e-01 2.510435780922575244e-01 1.513225859146748675e+00
1.106841151042931536e-02 8.015063601474627930e-01 7.228682951111919941e-01 7.880798949579154167e-01 -4.181072171222931289e+00
1.034424419330532731e-02 8.033230904358444890e-01 3.067809972928929318e-01 6.226282898844497371e-01 -2.500488593128332937e+00
4.575298773692807464e-01 7.866828907239749036e-01 4.433115842307941978e-01 8.065644690398841021e-01 -4.181588069845426858e+00
2.363331948058384202e-01 4.904992906318221269e-01 3.649466923986165222e-04 8.858184824192784079e-01 -8.157186324970817637e+00
4.493634731418640338e-01 9.758301398069857413e-01 8.333518712275145290e-02 2.994035271311924484e-01 8.159450044805378610e-01
1.873153547288264054e-01 8.980379510669832532e-01 4.342465916941910531e-01 9.865585643317493769e-01 -7.801713087579168260e+00
2.426177786259269831e-01 9.431709148930178532e-01 1.419943915501033216e-01 2.778905265879991204e-01 7.432558089468646045e-01
1.643731696175180779e-01 6.542474312207706699e-01 7.960517939603621862e-01 9.100082068234583987e-01 -6.578256912832232572e+00
1.333124297591041230e-01 6.040405922668242722e-01 5.650917459822744071e-01 7.632303901067646335e-01 -3.942603664144856523e+00
8.305692844930002705e-01 8.518384693927342211e-01 2.074943065494508077e-01 5.492707599518074080e-01 -5.809167793789900003e-01
8.303449758066759889e-01 9.477952912312909151e-01 2.216448367956767862e-01 7.928385810305388359e-01 -4.087782205271965452e+00
4.991504478459763416e-01 5.527023320551393004e-01 6.714997388861667638e-01 9.145316986599474340e-01 -7.244443909452852992e+00
3.701127887381976400e-01 4.491093870306038238e-01 6.146468535564406643e-01 6.961815779326402387e-01 -3.406517728029834657e+00
7.945223999841775075e-01 9.407204881810786734e-01 2.999783692749382474e-02 8.625762375845124064e-01 -5.632418106863289253e+00
9.324802617534512228e-01 9.358255574153154788e-01 9.584766580957015947e-02 1.090568930575335771e-01 7.534383874106733714e-01
4.962594667603044130e-01 8.779926321120140598e-01 1.647711323725689347e-01 1.678406810248559700e-01 1.547665919081358865e+00
1.076680448300340043e-01 2.531128431270894263e-01 1.595074926896142553e-01 7.223319940699973740e-01 -7.012615319517374601e+00
8.568961457219322897e-01 8.875043392273714860e-01 1.682897851959717084e-01 2.612383892149586773e-01 1.572100262512206470e+00
6.360469514799516055e-01 9.354251933404504893e-01 6.825936754486420233e-01 9.079816189963580975e-01 -5.922564648254072139e+00
4.119205709003200266e-01 7.503907124035276155e-01 2.069791964858397060e-01 9.358672973718669130e-01 -7.213486298687948661e+00
3.662692744988821358e-02 8.876446511624219715e-01 1.386682545034058633e-01 2.443182783986090345e-01 7.114191721728371220e-01
3.350327317349239831e-01 7.514293730258786441e-01 4.567351533032196903e-02 8.241817467754017912e-01 -5.542129470406928604e+00
2.974934369573333792e-01 6.999302391494331976e-01 1.326175329794818947e-01 4.159750043165019728e-01 5.147951940259982706e-01
7.552228940873483287e-01 8.721230130707087191e-01 7.036912504212169406e-01 7.849860504199320799e-01 -3.520210899906432545e+00
7.290383975167216146e-01 9.167424211033947667e-01 5.814184436577429782e-01 9.063374652771468698e-01 -5.894379709503182241e+00
1.675102687018589775e-01 9.733871993771711084e-01 2.023187591719743661e-01 7.605450156890757318e-01 -4.324762673495103016e+00
5.710687050513918450e-01 9.418097981834102628e-01 4.245065364787158901e-01 7.086512171909109536e-01 -2.560066512805436290e+00
6.117652060605509590e-01 8.432984333567449253e-01 8.203184162080439101e-01 8.671909730881819378e-01 -5.037338652789680182e+00
2.422118986662398776e-01 6.974915217260435618e-01 5.770237311202999764e-02 5.329637909238330584e-01 -9.578939414203286873e-01
4.012555235530754771e-01 9.461736356073382481e-01 4.129964849292778184e-01 9.649066860798763967e-01 -7.538581864920411491e+00
2.612176619154339408e-01 7.044843942604435139e-01 3.693367409485218689e-01 7.127982573185920323e-01 -3.013189368557215531e+00
3.047723692183916810e-01 3.957800289295601015e-01 3.576719418847987830e-01 4.499575639075669709e-01 -5.872916447907972071e-01
5.170907448578318522e-02 5.723814685831409010e-02 2.731924354351080719e-01 6.286363396991284658e-01 -7.756329748399663160e+00
6.054049131361957103e-01 6.957332776737331637e-01 1.834428416389964900e-01 2.939025276711287327e-01 1.633081988166937393e+00
8.558050730936102024e-01 9.179175651716002804e-01 5.774387590334310039e-01 6.264785415406773916e-01 -1.308403795551127402e+00
1.165379093184618770e-02 9.704524704878032537e-01 6.536541278840499736e-01 7.255888836729776914e-01 -3.719866027089858918e+00
3.596716981956103454e-01 6.095857670229216652e-01 5.297490303485772323e-01 7.410343267913982457e-01 -3.380600714464472745e+00
5.472081294374489535e-02 1.188928046050408555e-01 8.422024350806233128e-01 8.999142595858441451e-01 -1.186813435780353565e+01
2.876871930952746292e-01 6.901751052446631896e-01 3.847431883449052847e-01 9.130048375533563743e-01 -6.723900388609665768e+00
3.859486383026269340e-01 6.849642285629452543e-01 1.312747791732878366e-01 3.193987872627588875e-01 1.385375796911150204e+00
3.066518698213220873e-01 8.851367672448817725e-01 5.306647548291346661e-01 6.001520511770930266e-01 -1.496941564544568948e+00
6.548133108360506549e-01 8.603643779095928590e-01 6.894055079498005723e-02 6.813859662609680345e-01 -2.716733780442146085e+00
2.341586601353775471e-02 4.395031343280571545e-01 2.476004261569813569e-01 4.746290138885592147e-01 -9.145661130761180146e-01
3.979030135362043863e-01 4.368272513563169479e-01 6.460578537524665210e-02 5.292408587363925943e-01 -1.601142794531428493e+00
2.819890334422222589e-01 7.320343456677894656e-01 2.001372356639330718e-01 3.760049868368682824e-01 8.325177813536637217e-01
2.044257358995636431e-01 8.718422233542005850e-01 5.878484899198644920e-01 6.479665054593795048e-01 -2.109473310394358592e+00
6.992535850881360648e-01 9.615867612592914337e-01 3.136564370155838222e-01 5.771774514770110498e-01 -1.046542790831788139e+00
7.525394561726672649e-01 9.816490050861489403e-01 3.986766520410359171e-01 7.388576756004462398e-01 -3.064800747056347419e+00
1.983794641682739834e-01 9.607359597104417892e-01 7.921374750756167427e-02 4.954657298220234707e-01 -1.940509652325383527e+00
1.772722511764373288e-01 4.113305522804333036e-01 2.934396904188874000e-01 9.387583987369042537e-01 -9.237840896813628078e+00
6.611523941421042494e-01 8.944511993707261466e-01 6.979602253750645524e-02 6.276460283847430377e-01 -2.087830929948795600e+00
1.739280613614287985e-01 6.184203099693470485e-01 2.903911182909084746e-02 5.271583083002593373e-01 -9.713388494878305579e-01
2.551143029158512987e-01 2.955765041154637673e-01 3.526227070709884726e-01 4.126085358429924521e-01 -1.193285996581659347e+00
5.336671241323566184e-01 9.840982674115962281e-01 6.837151725229219101e-01 7.597045338855598073e-01 -3.442547060110806356e+00
3.440336795984803575e-01 6.571612890016980124e-01 2.245142632262426274e-01 5.065496487222365118e-01 -5.429209407619772776e-02
9.222014782646541509e-01 9.695139140337825090e-01 6.558930440041651488e-01 7.968235094520262907e-01 -3.809420893012466891e+00
3.919768302994641185e-01 8.077547359610472988e-01 5.009834644762167083e-02 9.109602341000513359e-01 -6.821401743702798726e+00
4.093280817745782452e-01 4.842556734736359614e-01 1.285519381853804655e-01 4.106828944162138617e-01 3.552525235496464262e-01
5.140756761860962136e-03 7.995841147519558989e-01 6.231889196312120904e-02 6.921478912607655909e-01 -4.237189162308153456e+00
8.404215543751510920e-01 9.023677119734645480e-01 6.041120911372633850e-01 7.251690284938558939e-01 -2.642423319871140208e+00
1.535979321836702938e-02 9.243447984217526558e-01 8.772737050208807884e-04 4.964784514841330543e-01 -2.383309640628544557e+00
6.205257805057107223e-01 7.258431306674524297e-01 4.890385287113714341e-01 9.119850911510876124e-01 -6.431538407331670371e+00
7.241542330574952668e-01 8.839338814226079810e-01 9.481629574874015365e-01 9.872988683826918743e-01 -7.272392086744675410e+00
1.224027801325546366e-01 4.807064185180465188e-01 5.516882970469186992e-02 9.308988688937638312e-01 -8.840782045221613927e+00
9.651632733750058202e-02 6.674231983512765032e-01 1.137168444103886511e-01 8.400905001097278557e-01 -6.195913660132655210e+00
6.751257357064931464e-01 8.304766445350539872e-01 5.075182731071790077e-01 6.053385316463795185e-01 -1.000273080097352718e+00
2.000539330012928163e-01 8.143833808632966464e-01 2.014973297656337814e-01 8.353640219535666267e-01 -5.304691172553058109e+00
1.416453538685970570e-01 4.925538234713046082e-01 3.157658109584988715e-01 9.387543985102639876e-01 -8.299040344630020272e+00
4.708415406853397878e-01 5.562210859044132150e-01 1.260372450706612746e-01 7.354690259607559177e-01 -4.436788835219966032e+00
5.898787200356092608e-01 8.988833174029968731e-01 6.596069142854454892e-01 9.364468608510191361e-01 -6.551227112333792846e+00
3.072361810178038666e-01 9.843079016482942922e-01 7.920098155686149388e-01 8.078391613559787743e-01 -4.442945150479724603e+00
4.317889072114102778e-01 6.513638872716289718e-01 3.861703954570602781e-01 8.201120027215567099e-01 -4.964795518653234652e+00
1.560047951299980973e-01 5.117163666738855365e-01 5.144807732227186792e-01 5.502767378838482326e-01 -1.009061875997078417e+00
2.524882073689488360e-02 7.673671536396224901e-01 7.346174041091584062e-02 2.690062076850153749e-01 8.951276530895579953e-01
5.278187177965939503e-01 8.263799451268101226e-01 2.282841724251994386e-01 7.819181963145195313e-01 -3.974372057769047117e+00
7.214238639876988102e-02 8.487728215589041003e-01 2.862004573478012515e-01 4.479746741045790293e-01 -7.327437164919334833e-01
3.547388225131170580e-01 5.631198763175969679e-01 4.662651659673640037e-01 8.656485878732176342e-01 -6.238906259181606018e+00
5.634051260426973240e-01 8.636923042163260344e-01 7.180777643424681722e-01 7.688595912396892773e-01 -3.320464534466195161e+00
3.116260388851765928e-01 6.710165855824179459e-01 5.489820800320899946e-02 9.840155212880173918e-01 -8.548891770795639999e+00
6.605699806101086313e-01 8.800971392913766733e-01 2.636553416628741320e-01 7.611700213547103466e-01 -3.416409555699710054e+00
8.818914240671712479e-01 8.900827293923254668e-01 6.068580179739992975e-01 6.456179045608033684e-01 -1.550396232495666382e+00
1.062748802079577781e-01 6.280382523329791633e-01 5.189253316125044257e-01 7.649147067398234245e-01 -3.982416482713331263e+00
6.693142463553505284e-01 6.995837450919504263e-01 4.911350903973537574e-01 9.329936614566487485e-01 -6.968128910909792140e+00
1.369479963973902203e-01 1.919435462276758986e-01 1.756196299017102058e-01 5.135415575847438463e-01 -4.121583987666825877e+00
5.059589587307682379e-01 8.323446294891386765e-01 3.936701738014445340e-01 4.979421519297378418e-01 -8.720725561787112667e-02
6.994276521886527709e-02 7.615883713762257035e-01 3.335785027108666423e-01 4.156811663277529267e-01 3.319505848944181992e-02
5.367552502294066219e-01 9.397417541181799505e-01 2.925372690451757407e-01 9.056788150197908616e-01 -6.311420459767349556e+00
7.956985751654138683e-02 1.975577894954514413e-01 5.650005958085070959e-03 5.712264291740614119e-01 -5.205851953537104393e+00
6.835867459163337267e-01 8.619500360051789434e-01 1.292584079535168129e-01 4.751251476306799781e-01 4.483909830504551053e-02
3.289988837077508221e-01 6.913538198041234706e-01 4.922653841030777411e-01 5.497023688367731475e-01 -4.383021137568992032e-01
1.035731908825862982e-02 5.834335996464925511e-01 2.043063750613203222e-01 4.359701281558258090e-01 -2.620448931753802668e-01
7.409864596726751795e-01 7.564220243080388428e-01 2.077162989908746815e-01 7.943860972405589749e-01 -4.393480615320429550e+00
1.146826050562279459e-01 1.521667362489627362e-01 2.350479999393527142e-01 6.896331811362566011e-01 -7.635362378417054785e+00
4.546901029737783761e-01 8.841150940662874103e-01 5.709629593601789344e-01 8.194624139172906885e-01 -4.312638528328003318e+00
5.267366505676710497e-01 8.007884878463481515e-01 4.604375077437961594e-01 5.784856117788412799e-01 -7.550866430411122820e-01
1.401944920123393279e-01 3.536738385718661282e-01 5.322911905845429947e-01 7.576779332316065929e-01 -5.790733462078902605e+00
5.475258295497403838e-01 9.302465890422778605e-01 1.047544696601062364e-01 7.039030732725282125e-01 -2.973612137203184957e+00
4.279318450948355612e-01 5.478851159355903055e-01 2.311157417153089366e-01 3.705315045102232641e-01 1.021648413956453894e+00
1.828395858652138162e-01 7.362767745462486246e-01 2.720475923096615234e-01 3.064418533434315473e-01 1.152196383484406894e+00
2.374731151803369245e-01 8.190948427932389642e-01 4.837099327606551591e-01 8.759852129984655456e-01 -5.672871255502746735e+00
7.842178193110199702e-01 8.848040414224879191e-01 2.132673863395030123e-01 6.623339500311732353e-01 -2.035522150310912437e+00
5.378017329342874575e-01 7.880489798230769782e-01 3.352268571079364823e-01 4.081153452978346641e-01 8.501778709320628735e-01
4.758935059896614583e-01 9.330182351736074908e-01 8.194543422110626973e-02 7.911681005362978247e-01 -4.469880565261719951e+00
5.448571575300331649e-01 9.229374289637126694e-01 8.981484987128282027e-01 9.328366825164083886e-01 -6.347689170873517028e+00
7.301253256823253546e-01 9.137712261330501740e-01 2.869618893462646050e-02 5.399890762158882085e-01 -1.059407230970647262e+00
4.018544680855074547e-01 4.202886879538795806e-01 1.263586311582397259e-01 5.902925589178313892e-01 -2.665647122724321250e+00
6.614360067390303577e-01 9.228581258561029399e-01 5.637949543005177366e-01 9.072136784115338859e-01 -6.000419181585813888e+00
4.577535420709266667e-01 9.100020489901516907e-01 2.354106378941976108e-01 8.075538311422147952e-01 -4.468265223525131447e+00
1.579619096455943672e-01 3.843280862764991146e-01 4.629517551236320139e-01 4.929100351950174708e-01 -1.279292050894982324e+00
6.318499574644355077e-01 9.779264134675664799e-01 3.472468372532238057e-01 6.626313796782760113e-01 -2.108166981445938504e+00
1.422463097400595566e-01 1.865434098996762713e-01 1.062656340978998387e-01 2.353047258510097550e-01 -1.283439766961341988e+00
2.042509437762371205e-01 8.909229318336252534e-01 1.502926800013270614e-01 5.071498243426799668e-01 -1.632487158159177554e+00
1.578085408624116948e-01 6.298937835917557404e-01 1.246040582855880430e-01 3.365620721103180224e-01 8.749087820189327402e-01
2.913905116682933283e-01 8.102601868002341501e-01 8.427557247103233118e-02 2.398754231970900153e-01 1.487100921762595007e+00
2.728241689734557385e-01 5.893437161379134759e-01 2.637010793100147410e-01 8.009402343992392259e-01 -5.198616861409943724e+00
1.694506249119302477e-01 6.565058973381376894e-01 3.015081509553093619e-01 7.871372919551287151e-01 -4.704698995474183576e+00
5.114703694951121954e-02 3.796873878387887480e-01 6.920237528175056108e-01 7.625160097595112818e-01 -5.492718435574156288e+00
1.815936898426909196e-02 2.041184829791276856e-01 6.465856357522336006e-01 9.100793930899929718e-01 -1.097727696547408804e+01
6.437029355996184421e-01 7.961119457802916521e-01 4.852311202901737341e-01 6.212680161033397042e-01 -1.218095832184191707e+00
4.440873495884207212e-01 9.722342442945564045e-01 2.200361094322244304e-01 5.469039252385208272e-01 -1.541476969946268483e+00
1.498823532966671590e-01 3.812112236436390189e-01 5.088488600577821819e-01 9.518077228998987893e-01 -9.602324465427452438e+00
2.859830299967526801e-01 5.172057681803206020e-01 2.531439989355428466e-01 6.845576944013719300e-01 -3.324540707556076669e+00
6.630811829940729263e-01 8.959724782359799189e-01 6.349524788358061889e-01 6.855670557204629478e-01 -2.099699126691097817e+00
3.072372181284301410e-02 7.560019098040297869e-02 1.814614945617355479e-01 1.934234067996299100e-01 -2.994621826615055937e+00
4.858994294600336161e-01 8.058677859373943875e-01 5.387276716329515436e-01 5.739255372053100324e-01 -7.165054020344516772e-01
2.040177479976249819e-01 3.576986207344782231e-01 1.690946706107742947e-01 2.096620205722886376e-01 7.157977244902138381e-01
1.336340037150962091e-02 6.972386464850475196e-01 8.461725108530386563e-02 7.614124311913395005e-01 -5.304879663818541147e+00
4.765734703782534831e-01 9.770958359013847128e-01 7.055868512626595201e-01 9.094656645071412804e-01 -6.142448261586329394e+00
5.338693411306386638e-01 9.017255313467835709e-01 3.232710948634826553e-01 3.567233217777107113e-01 9.578934721992649060e-01
2.084496177863756905e-01 7.355166900283830467e-01 1.539623858087974251e-01 7.087393080606158025e-01 -3.781413832997282398e+00
6.173092739485971370e-01 6.818674089304898045e-01 1.477105112621204808e-01 9.206451847298661173e-01 -7.283715053016548424e+00
3.023872227985769934e-01 4.829611142509074306e-01 3.928322734468938093e-01 4.710670113048097685e-01 -1.543919190002416286e-01
5.856732697684199351e-01 9.599892376455788634e-01 7.699456322886081283e-01 8.357882427867217023e-01 -4.560572268321875455e+00
7.871709457286686640e-02 8.672008989673372081e-01 2.779270951624032149e-01 3.264122924648398261e-01 3.968895942492220996e-01
3.671096499241319200e-01 6.250157316513347272e-01 5.180451126591084643e-01 8.082548950729716575e-01 -4.666956599397179772e+00
4.990783311708548720e-01 9.155697129934479150e-01 1.955396129002329730e-01 9.557256994739081746e-01 -7.306709481924213989e+00
5.670442524667889117e-01 6.010318549267261723e-01 4.034129598294697305e-01 7.812327000504493135e-01 -4.376280165402535616e+00
1.033351756126978660e-01 6.773426756321373476e-01 4.971769558262108535e-01 7.876473337325052837e-01 -4.311846174094325690e+00
3.609922712224151731e-01 7.908472536509384421e-01 2.811409148416103565e-01 4.959477087693080488e-01 -2.833384598399479870e-01
3.249100402202712568e-01 4.689547580021739548e-01 3.293737852088337581e-01 4.369847424718633078e-01 1.117542748439017686e-01
8.953574707248375397e-02 4.036172136566773538e-01 1.486242371210834134e-01 3.396166462268512820e-01 1.869167274383283228e-01
5.211695935175124639e-01 7.692726703437297031e-01 1.919370093845449710e-01 8.615978287961791882e-01 -5.718461928561174190e+00
1.613482731107636070e-01 6.243437556292604773e-01 5.110111333731593986e-01 5.292551672057376200e-01 -4.649202712848659047e-01
2.585549198435330154e-01 3.850752065155392811e-01 6.918314620803192039e-01 7.189917380015284909e-01 -4.455487079671035744e+00
6.927611320144407003e-02 8.241692825743026640e-01 3.900194706710385928e-01 7.411847747800237585e-01 -3.694221094065150979e+00
8.556989033216072515e-01 8.834285423651548896e-01 1.256377063069501476e-01 3.907102708992747919e-01 1.037605587975447108e+00
2.349290161194568793e-01 4.275811599789513529e-01 5.293997507379025191e-02 4.207124426675876161e-01 -3.628548288662170052e-01
2.458548090086828952e-01 9.247208743301180700e-01 3.774594738223683299e-01 7.296546847795221113e-01 -3.320779626552303299e+00
3.963977131261011699e-01 5.929592352647912179e-01 3.164031180430792456e-01 5.151763900234364035e-01 -1.188685585385105270e-01
7.382363086140755759e-02 7.972213749340527622e-01 2.586342037511396019e-01 3.740894684177957785e-01 2.628393660024581635e-01
4.268150251149606667e-01 5.852197115241177805e-01 6.390360760932392581e-02 2.003519914411732161e-01 1.556501892106970431e+00
6.682855019192197876e-02 4.613094872793826462e-01 4.970421482680714154e-01 9.504694405580365046e-01 -8.590526196337444631e+00
3.462161388942901485e-01 5.467200469053180578e-01 5.961321146173370611e-01 7.309496669932972202e-01 -3.395250944226356538e+00
6.417066480698732089e-01 7.879056659489714898e-01 1.679535555565600802e-01 9.261802937854073381e-01 -6.936340111425151278e+00
1.024237743396836237e-01 5.156051560004973888e-01 1.727289790521519264e-01 7.071674205881598452e-01 -4.223567590467967037e+00
8.589438088644903990e-01 8.943002871525357333e-01 4.988289535683861908e-01 5.040418992619964955e-01 1.025625265234832995e-01
5.484411799426250345e-02 1.876396113452468706e-01 5.404415263184115803e-01 8.877147486267542575e-01 -1.066702957178133460e+01
6.147175535359732379e-01 6.802409557171785748e-01 1.514490360258556600e-01 3.148737825607859087e-01 1.538071481256663375e+00
2.599491986411680555e-01 9.230510690530350226e-01 1.746101129827092729e-02 5.881302784608496426e-01 -2.832570551087512101e+00
1.003465233168217841e-01 2.529462427332364594e-01 5.075725556022041285e-02 8.968355577297835168e-01 -1.073393499957454544e+01
7.133783211621576303e-02 4.158362567109323282e-01 2.188430802353106761e-02 2.176836281579241639e-01 6.641980422926376804e-01
7.666906573698271943e-02 4.211852859156494100e-01 2.555998131500364923e-01 6.745156908465946843e-01 -3.960421063095560967e+00
4.032577693410912406e-02 6.948480053171777193e-01 3.584837736419382859e-01 8.196417945917043868e-01 -5.185816372471331093e+00
1.427573430483917993e-01 5.334397510662040043e-01 6.782592281680936974e-01 8.428178987858810922e-01 -5.843831758539495880e+00
8.617923654989681839e-03 8.003044523212687889e-02 7.306292296601225866e-02 6.073555037758580077e-01 -7.221368596167241805e+00
6.425909138015701849e-01 7.420919570387720654e-01 7.039166447817497840e-02 6.229966583876600517e-01 -2.256808302960136459e+00
2.452652808309417343e-01 4.559687033130606637e-01 6.465781877294202173e-01 9.027606324617343247e-01 -7.723997868150439317e+00
